variable,first_record_portal,first_record_file,earlier
ANC960,1990-01-14,1992-07-27,portal
cationCharge,1969-01-13,1964-03-16,file
anionCharge,1969-01-13,1964-03-16,file
flowGageHt,1963-06-01,1963-06-01,-
hydroGraph,1963-06-01,1963-06-01,-
spCond,1965-06-21,1965-06-21,-
theoryCond,1969-11-11,1964-03-16,file
ionBalance,1969-01-13,1964-03-16,file
ionError,1969-01-13,1964-03-16,file
Al_ICP,1964-03-16,2008-08-11,portal
temp,1963-06-25,1963-06-25,-
site,1963-06-01,1963-06-01,-
Ca,1963-06-01,1963-06-01,-
Mg,1963-06-01,1963-06-01,-
K,1963-06-01,1963-06-01,-
Na,1963-06-01,1963-06-01,-
NH4,1964-03-16,1964-03-16,-
pH,1963-06-01,1963-06-01,-
SO4,1964-03-16,1964-03-16,-
NO3,1964-03-16,1964-03-16,-
Cl,1964-03-16,1964-03-16,-
PO4,1970-12-22,1969-09-15,file
DOC,1975-11-18,1992-08-31,portal
DON,1975-11-18,1995-05-30,portal
TDN,1995-05-30,1995-05-30,-
DIC,1994-01-03,1994-01-03,-
SiO2,1963-06-01,1963-06-01,-
TMAl,2008-01-07,1995-05-30,file
OMAl,2012-09-10,1995-05-30,file
Mn,2012-09-10,2008-08-11,file
Fe,2012-09-10,2008-08-11,file
F,2012-09-10,2008-08-11,file
date,1963-06-01,1963-06-01,-
timeEST,1963-06-01,1963-06-01,-
