site,waterYr,spCond,n,source
W6,1965,24.0343481393962,50,Streamwater
W6,1966,24.646469082021337,48,Streamwater
W6,1967,24.209007954398192,44,Streamwater
W6,1968,24.382992488388126,36,Streamwater
W6,1969,26.51539519416363,50,Streamwater
W6,1970,28.44833327830068,54,Streamwater
W6,1971,27.651245506723697,54,Streamwater
W6,1972,27.146629226738405,52,Streamwater
W6,1973,26.916944359373915,55,Streamwater
W6,1974,26.87541815022064,52,Streamwater
W6,1975,23.886570337325153,53,Streamwater
W6,1976,26.51026123719344,54,Streamwater
W6,1977,22.254756327316276,53,Streamwater
W6,1978,23.907963567269004,40,Streamwater
W6,1979,23.720951344009112,54,Streamwater
W6,1980,26.140065303109825,51,Streamwater
W6,1981,21.801333931708015,54,Streamwater
W6,1982,21.52098894237008,54,Streamwater
W6,1983,20.44929201507133,57,Streamwater
W6,1984,20.985730272312843,53,Streamwater
W6,1985,20.64783086175425,52,Streamwater
W6,1986,21.999779353187705,54,Streamwater
W6,1987,20.32340098148365,53,Streamwater
W6,1988,20.821528281191732,57,Streamwater
W6,1989,19.853835881078105,57,Streamwater
W6,1990,18.251265466307352,55,Streamwater
W6,1991,16.92479054854667,54,Streamwater
W6,1992,16.219093009629752,58,Streamwater
W6,1993,15.241375978763696,58,Streamwater
W6,1994,15.235631566920443,57,Streamwater
W6,1995,15.79100687321477,62,Streamwater
W6,1996,14.717339548317199,72,Streamwater
W6,1997,14.969299840383885,76,Streamwater
W6,1998,15.399349724613504,77,Streamwater
W6,1999,15.170092721682593,86,Streamwater
W6,2000,14.234625436269184,73,Streamwater
W6,2001,14.522311768299444,53,Streamwater
W6,2002,13.770027835576716,55,Streamwater
W6,2003,14.037541668849995,62,Streamwater
W6,2004,12.92771790272605,57,Streamwater
W6,2005,12.24874047168052,55,Streamwater
W6,2006,13.092595781821855,55,Streamwater
W6,2007,12.54615316031274,58,Streamwater
W6,2008,11.429634397151927,57,Streamwater
W6,2009,11.283184981746176,56,Streamwater
W6,2010,11.09086376343159,56,Streamwater
W6,2011,10.571222069695834,52,Streamwater
W6,2012,11.226983953718955,58,Streamwater
W6,2013,11.229511518699251,91,Streamwater
W6,2014,9.950429951021002,82,Streamwater
W6,2015,9.125659471921244,66,Streamwater
W6,2016,9.328359261839946,51,Streamwater
W6,2017,9.190431845552041,52,Streamwater
W6,2018,9.097417281640729,54,Streamwater
W6,2019,8.82608035930173,52,Streamwater
W6,2020,9.871207241918196,51,Streamwater
W6,2021,9.803690977705266,54,Streamwater
W6,2022,9.223776540677946,52,Streamwater
all,1971,NA,1,Precipitation
all,1972,26.376827841684538,32,Precipitation
all,1973,29.476588282371768,48,Precipitation
all,1974,35.295261311248005,42,Precipitation
all,1975,32.7848552804944,38,Precipitation
all,1976,27.828895923343456,32,Precipitation
all,1977,26.571496262674344,37,Precipitation
all,1978,30.746915415164462,41,Precipitation
all,1979,27.624871206632857,45,Precipitation
all,1980,44.364298549876715,44,Precipitation
all,1981,35.326322063285645,43,Precipitation
all,1982,25.192646498029745,44,Precipitation
all,1983,28.435015078854995,42,Precipitation
all,1984,39.28578077054211,38,Precipitation
all,1985,19.96079383477961,42,Precipitation
all,1986,33.778138571238934,44,Precipitation
all,1987,23.961901810920605,47,Precipitation
all,1988,32.59031496621382,40,Precipitation
all,1989,28.593607233020045,48,Precipitation
all,1990,34.72029184038118,43,Precipitation
all,1991,16.827160865853045,39,Precipitation
all,1992,24.183859076625573,42,Precipitation
all,1993,28.545272797626726,47,Precipitation
all,1994,29.57550192325734,41,Precipitation
all,1995,20.14681494819346,42,Precipitation
all,1996,17.14099349541749,47,Precipitation
all,1997,21.43435952663894,40,Precipitation
all,1998,15.0791654613827,41,Precipitation
all,1999,18.984419257570902,43,Precipitation
all,2000,17.244406462325692,41,Precipitation
all,2001,15.71165290975931,43,Precipitation
all,2002,17.327472175848634,43,Precipitation
all,2003,16.26009240440516,38,Precipitation
all,2004,17.093671462074276,45,Precipitation
all,2005,17.556788354514495,48,Precipitation
all,2006,15.17220896313975,40,Precipitation
all,2007,18.64995577853892,40,Precipitation
all,2008,13.840695816153675,37,Precipitation
all,2009,5.1538319900993095,36,Precipitation
all,2010,9.119046187422056,43,Precipitation
all,2011,9.990141143356835,46,Precipitation
all,2012,8.877645246260126,36,Precipitation
all,2013,9.14885940114233,43,Precipitation
all,2014,8.198450946092283,41,Precipitation
all,2015,6.242587178951765,48,Precipitation
all,2016,6.910250540506167,46,Precipitation
all,2017,8.017911442243625,40,Precipitation
all,2018,6.618974580335731,44,Precipitation
all,2019,10.900217601130663,45,Precipitation
all,2020,5.37267012116132,41,Precipitation
all,2021,5.417177526912451,46,Precipitation
all,2022,4.772474291056404,44,Precipitation
