waterYear,iceInDate,iceOutDate,comments
1967,1967-12-01,1968-04-08,NA
1968,1968-11-26,1969-04-25,NA
1969,1969-12-02,1970-04-27,NA
1970,1970-12-07,1971-04-26,NA
1971,1971-12-08,1972-05-01,NA
1972,1972-12-04,1973-04-16,NA
1973,1973-12-13,1974-04-24,NA
1974,1974-12-01,1975-04-28,NA
1975,1975-12-09,1976-04-18,NA
1976,1976-11-21,1977-04-14,NA
1977,1977-12-08,1978-04-28,NA
1978,1978-11-26,1979-04-23,NA
1979,1979-12-14,1980-04-14,NA
1980,1980-12-01,1981-04-02,NA
1981,1981-12-06,1982-04-29,NA
1982,1982-12-10,1983-04-02,NA
1983,1983-12-05,1984-04-15,NA
1984,1984-12-07,1985-04-12,NA
1985,1985-12-06,1986-04-14,NA
1986,1986-12-07,1987-04-07,NA
1987,1987-12-15,1988-04-12,NA
1988,1988-12-04,1989-04-26,NA
1989,1989-11-22,1990-04-16,NA
1990,1990-12-06,1991-04-10,NA
1991,1991-12-16,1992-04-26,NA
1992,1992-12-08,1993-04-21,NA
1993,1993-12-17,1994-04-24,NA
1994,1994-12-12,1995-04-04,NA
1995,1995-12-01,1996-04-16,NA
1996,1996-11-25,1997-04-23,NA
1997,1997-11-28,1998-04-09,NA
1998,1998-12-19,1999-04-07,NA
1999,1999-12-19,2000-04-06,NA
2000,2000-12-02,2001-04-22,NA
2001,2001-12-18,2002-04-13,NA
2002,2002-11-29,2003-04-19,NA
2003,2003-12-05,2004-04-15,NA
2004,2004-12-06,2005-04-13,NA
2005,2005-12-04,2006-04-02,NA
2006,2006-12-30,2007-04-20,NA
2007,2007-12-03,2008-04-24,NA
2008,2008-11-28,2009-04-12,NA
2009,2009-12-13,2010-03-18,NA
2010,2010-12-08,2011-04-22,NA
2011,2011-12-18,2012-03-24,NA
2012,2012-12-13,2013-04-09,NA
2013,2013-11-28,2014-04-21,NA
2014,2014-12-05,2015-04-19,NA
2015,2015-12-30,2016-03-20,NA
2016,2016-12-11,2017-04-17,NA
2017,2017-12-07,2018-04-22,NA
2018,2018-11-24,2018-11-30,NA
2018,2018-12-05,2019-04-26,NA
2019,2019-12-01,2020-04-06,NA
2020,2020-12-16,2021-04-06,NA
2021,2021-12-09,2022-04-11,NA
2022,2022-12-12,2023-04-07,NA
2023,2023-12-05,2023-12-18,NA
2023,2023-12-22,2023-12-29,NA
2023,2024-01-02,2024-03-15,NA
2023,2024-03-24,,
